#
# wood
#

Acacia Door                              :ACACIA_DOOR
Oak Boat                                 :OAK_BOAT
Oak Boat With Chest                      :OAK_CHEST_BOAT

Pale Oak Door                            :PALE_OAK_DOOR
Pale Oak Fence                           :PALE_OAK_FENCE
Pale Oak Fence Gate                      :PALE_OAK_FENCE_GATE
Pale Oak Leaves                          :PALE_OAK_LEAVES
Pale Oak Log                             :PALE_OAK_LOG
Stripped Pale Oak Log                    :STRIPPED_PALE_OAK_LOG
Pale Oak Planks                          :PALE_OAK_PLANKS
Pale Oak Sapling                         :PALE_OAK_SAPLING
Pale Oak Sign                            :PALE_OAK_SIGN
Pale Oak Sign                            :PALE_OAK_WALL_SIGN
Pale Oak Hanging Sign                    :PALE_OAK_HANGING_SIGN
Pale Oak Hanging Sign                    :PALE_OAK_WALL_HANGING_SIGN
Pale Oak Slab                            :PALE_OAK_SLAB
Pale Oak Stairs                          :PALE_OAK_STAIRS
Pale Oak Trapdoor                        :PALE_OAK_TRAPDOOR
Pale Oak Wood                            :PALE_OAK_WOOD
Stripped Pale Oak Wood                   :STRIPPED_PALE_OAK_WOOD
Pale Oak Boat                            :PALE_OAK_BOAT
Pale Oak Boat With Chest                 :PALE_OAK_CHEST_BOAT

Resin Clump                              :RESIN_CLUMP
Block of Resin                           :RESIN_BLOCK
Resin Brick                              :RESIN_BRICK
Resin Bricks                             :RESIN_BRICKS
Resin Brick Stairs                       :RESIN_BRICK_STAIRS
Resin Brick Slab                         :RESIN_BRICK_SLAB
Resin Brick Wall                         :RESIN_BRICK_WALL
Chiseled Resin Bricks                    :CHISELED_RESIN_BRICKS

Spruce Door                              :SPRUCE_DOOR
Spruce Fence                             :SPRUCE_FENCE
Spruce Fence Gate                        :SPRUCE_FENCE_GATE
Spruce Leaves                            :SPRUCE_LEAVES
Spruce Log                               :SPRUCE_LOG
Stripped Spruce Log                      :STRIPPED_SPRUCE_LOG
Spruce Planks                            :SPRUCE_PLANKS
Spruce Sapling                           :SPRUCE_SAPLING
Spruce Sign                              :SPRUCE_SIGN
Spruce Sign                              :SPRUCE_WALL_SIGN
Spruce Hanging Sign                      :SPRUCE_HANGING_SIGN
Spruce Hanging Sign                      :SPRUCE_WALL_HANGING_SIGN
Spruce Slab                              :SPRUCE_SLAB
Spruce Stairs                            :SPRUCE_STAIRS
Spruce Trapdoor                          :SPRUCE_TRAPDOOR
Spruce Wood                              :SPRUCE_WOOD
Stripped Spruce Wood                     :STRIPPED_SPRUCE_WOOD
Spruce Boat                              :SPRUCE_BOAT
Spruce Boat With Chest                   :SPRUCE_CHEST_BOAT

Warped Door                              :WARPED_DOOR
Warped Fence                             :WARPED_FENCE
Warped Fence Gate                        :WARPED_FENCE_GATE
Warped Fungus                            :WARPED_FUNGUS
Warped Hyphae                            :WARPED_HYPHAE
Stripped Warped Hyphae                   :STRIPPED_WARPED_HYPHAE
Warped Nylium                            :WARPED_NYLIUM
Warped Planks                            :WARPED_PLANKS
Warped Roots                             :WARPED_ROOTS
Warped Sign                              :WARPED_SIGN
Warped Sign                              :WARPED_WALL_SIGN
Warped Hanging Sign                      :WARPED_HANGING_SIGN
Warped Hanging Sign                      :WARPED_WALL_HANGING_SIGN
Warped Slab                              :WARPED_SLAB
Warped Stairs                            :WARPED_STAIRS
Warped Stem                              :WARPED_STEM
Stripped Warped Stem                     :STRIPPED_WARPED_STEM
Warped Trapdoor                          :WARPED_TRAPDOOR
Warped Wart Block                        :WARPED_WART_BLOCK

#
# stone
#

Andesite                                 :ANDESITE
Polished Andesite                        :POLISHED_ANDESITE
Andesite Slab                            :ANDESITE_SLAB
Polished Andesite Slab                   :POLISHED_ANDESITE_SLAB
Andesite Stairs                          :ANDESITE_STAIRS
Polished Andesite Stairs                 :POLISHED_ANDESITE_STAIRS
Andesite Wall                            :ANDESITE_WALL

Basalt                                   :BASALT
Polished Basalt                          :POLISHED_BASALT
Smooth Basalt                            :SMOOTH_BASALT

Blackstone                               :BLACKSTONE
Polished Blackstone Brick Slab           :POLISHED_BLACKSTONE_BRICK_SLAB
Polished Blackstone Brick Stairs         :POLISHED_BLACKSTONE_BRICK_STAIRS
Polished Blackstone Brick Wall           :POLISHED_BLACKSTONE_BRICK_WALL
Cracked Polished Blackstone Bricks       :CRACKED_POLISHED_BLACKSTONE_BRICKS
Polished Blackstone Bricks               :POLISHED_BLACKSTONE_BRICKS
Chiseled Polished Blackstone             :CHISELED_POLISHED_BLACKSTONE
Polished Blackstone                      :POLISHED_BLACKSTONE
Blackstone Slab                          :BLACKSTONE_SLAB
Polished Blackstone Slab                 :POLISHED_BLACKSTONE_SLAB
Blackstone Stairs                        :BLACKSTONE_STAIRS
Polished Blackstone Stairs               :POLISHED_BLACKSTONE_STAIRS
Blackstone Wall                          :BLACKSTONE_WALL
Polished Blackstone Wall                 :POLISHED_BLACKSTONE_WALL
Gilded Blackstone                        :GILDED_BLACKSTONE

Brick                                    :BRICK
Brick Slab                               :BRICK_SLAB
Brick Stairs                             :BRICK_STAIRS
Brick Wall                               :BRICK_WALL
Bricks                                   :BRICKS

Calcite                                  :CALCITE

Cobblestone                              :COBBLESTONE
Infested Cobblestone                     :INFESTED_COBBLESTONE
Cobblestone Slab                         :COBBLESTONE_SLAB
Cobblestone Stairs                       :COBBLESTONE_STAIRS
Cobblestone Wall                         :COBBLESTONE_WALL
Mossy Cobblestone                        :MOSSY_COBBLESTONE
Mossy Cobblestone Slab                   :MOSSY_COBBLESTONE_SLAB
Mossy Cobblestone Stairs                 :MOSSY_COBBLESTONE_STAIRS
Mossy Cobblestone Wall                   :MOSSY_COBBLESTONE_WALL

White Concrete                           :WHITE_CONCRETE
Light Gray Concrete                      :LIGHT_GRAY_CONCRETE
Gray Concrete                            :GRAY_CONCRETE
Black Concrete                           :BLACK_CONCRETE
Brown Concrete                           :BROWN_CONCRETE
Red Concrete                             :RED_CONCRETE
Orange Concrete                          :ORANGE_CONCRETE
Yellow Concrete                          :YELLOW_CONCRETE
Lime Concrete                            :LIME_CONCRETE
Green Concrete                           :GREEN_CONCRETE
Cyan Concrete                            :CYAN_CONCRETE
Light Blue Concrete                      :LIGHT_BLUE_CONCRETE
Blue Concrete                            :BLUE_CONCRETE
Purple Concrete                          :PURPLE_CONCRETE
Magenta Concrete                         :MAGENTA_CONCRETE
Pink Concrete                            :PINK_CONCRETE

White Concrete Powder                    :WHITE_CONCRETE_POWDER
Light Gray Concrete Powder               :LIGHT_GRAY_CONCRETE_POWDER
Gray Concrete Powder                     :GRAY_CONCRETE_POWDER
Black Concrete Powder                    :BLACK_CONCRETE_POWDER
Brown Concrete Powder                    :BROWN_CONCRETE_POWDER
Red Concrete Powder                      :RED_CONCRETE_POWDER
Orange Concrete Powder                   :ORANGE_CONCRETE_POWDER
Yellow Concrete Powder                   :YELLOW_CONCRETE_POWDER
Lime Concrete Powder                     :LIME_CONCRETE_POWDER
Green Concrete Powder                    :GREEN_CONCRETE_POWDER
Cyan Concrete Powder                     :CYAN_CONCRETE_POWDER
Light Blue Concrete Powder               :LIGHT_BLUE_CONCRETE_POWDER
Blue Concrete Powder                     :BLUE_CONCRETE_POWDER
Purple Concrete Powder                   :PURPLE_CONCRETE_POWDER
Magenta Concrete Powder                  :MAGENTA_CONCRETE_POWDER
Pink Concrete Powder                     :PINK_CONCRETE_POWDER

Dark Prismarine                          :DARK_PRISMARINE
Dark Prismarine Slab                     :DARK_PRISMARINE_SLAB
Dark Prismarine Stairs                   :DARK_PRISMARINE_STAIRS

Deepslate                                :DEEPSLATE
Reinforced Deepslate                     :REINFORCED_DEEPSLATE
Infested Deepslate                       :INFESTED_DEEPSLATE
Polished Deepslate                       :POLISHED_DEEPSLATE
Polished Deepslate Slab                  :POLISHED_DEEPSLATE_SLAB
Polished Deepslate Stairs                :POLISHED_DEEPSLATE_STAIRS
Polished Deepslate Wall                  :POLISHED_DEEPSLATE_WALL
Chiseled Deepslate                       :CHISELED_DEEPSLATE
Cobbled Deepslate                        :COBBLED_DEEPSLATE
Cobbled Deepslate Slab                   :COBBLED_DEEPSLATE_SLAB
Cobbled Deepslate Stairs                 :COBBLED_DEEPSLATE_STAIRS
Cobbled Deepslate Wall                   :COBBLED_DEEPSLATE_WALL
Deepslate Bricks                         :DEEPSLATE_BRICKS
Cracked Deepslate Bricks                 :CRACKED_DEEPSLATE_BRICKS
Deepslate Brick Slab                     :DEEPSLATE_BRICK_SLAB
Deepslate Brick Stairs                   :DEEPSLATE_BRICK_STAIRS
Deepslate Brick Wall                     :DEEPSLATE_BRICK_WALL
Deepslate Tiles                          :DEEPSLATE_TILES
Deepslate Tile Slab                      :DEEPSLATE_TILE_SLAB
Deepslate Tile Stairs                    :DEEPSLATE_TILE_STAIRS
Deepslate Tile Wall                      :DEEPSLATE_TILE_WALL
Cracked Deepslate Tiles                  :CRACKED_DEEPSLATE_TILES

Diorite                                  :DIORITE
Polished Diorite                         :POLISHED_DIORITE
Diorite Slab                             :DIORITE_SLAB
Polished Diorite Slab                    :POLISHED_DIORITE_SLAB
Diorite Stairs                           :DIORITE_STAIRS
Polished Diorite Stairs                  :POLISHED_DIORITE_STAIRS
Diorite Wall                             :DIORITE_WALL

Dripstone Block                          :DRIPSTONE_BLOCK
Pointed Dripstone                        :POINTED_DRIPSTONE

End Stone                                :END_STONE
End Stone Brick Slab                     :END_STONE_BRICK_SLAB
End Stone Brick Stairs                   :END_STONE_BRICK_STAIRS
End Stone Brick Wall                     :END_STONE_BRICK_WALL
End Stone Bricks                         :END_STONE_BRICKS

Granite                                  :GRANITE
Polished Granite                         :POLISHED_GRANITE
Granite Slab                             :GRANITE_SLAB
Polished Granite Slab                    :POLISHED_GRANITE_SLAB
Granite Stairs                           :GRANITE_STAIRS
Polished Granite Stairs                  :POLISHED_GRANITE_STAIRS
Granite Wall                             :GRANITE_WALL

Gravel                                   :GRAVEL
Suspicious Gravel                        :SUSPICIOUS_GRAVEL

Prismarine                               :PRISMARINE
Prismarine Brick Slab                    :PRISMARINE_BRICK_SLAB
Prismarine Brick Stairs                  :PRISMARINE_BRICK_STAIRS
Prismarine Bricks                        :PRISMARINE_BRICKS
Prismarine Crystals                      :PRISMARINE_CRYSTALS
Prismarine Shard                         :PRISMARINE_SHARD
Prismarine Slab                          :PRISMARINE_SLAB
Prismarine Stairs                        :PRISMARINE_STAIRS
Prismarine Wall                          :PRISMARINE_WALL

Stone                                    :STONE
Stone Slab                               :STONE_SLAB
Stone Stairs                             :STONE_STAIRS
Stone Bricks                             :STONE_BRICKS
Stone Brick Slab                         :STONE_BRICK_SLAB
Stone Brick Stairs                       :STONE_BRICK_STAIRS
Stone Brick Wall                         :STONE_BRICK_WALL
Chiseled Stone Bricks                    :CHISELED_STONE_BRICKS
Cracked Stone Bricks                     :CRACKED_STONE_BRICKS
Smooth Stone                             :SMOOTH_STONE
Smooth Stone Slab                        :SMOOTH_STONE_SLAB
Infested Stone                           :INFESTED_STONE
Infested Stone Bricks                    :INFESTED_STONE_BRICKS
Infested Chiseled Stone Bricks           :INFESTED_CHISELED_STONE_BRICKS
Infested Cracked Stone Bricks            :INFESTED_CRACKED_STONE_BRICKS
Mossy Stone Bricks                       :MOSSY_STONE_BRICKS
Mossy Stone Brick Slab                   :MOSSY_STONE_BRICK_SLAB
Mossy Stone Brick Stairs                 :MOSSY_STONE_BRICK_STAIRS
Mossy Stone Brick Wall                   :MOSSY_STONE_BRICK_WALL
Infested Mossy Stone Bricks              :INFESTED_MOSSY_STONE_BRICKS

Tuff                                     :TUFF
Tuff Slab                                :TUFF_SLAB
Tuff Stairs                              :TUFF_STAIRS
Tuff Wall                                :TUFF_WALL
Chiseled Tuff                            :CHISELED_TUFF
Polished Tuff                            :POLISHED_TUFF
Polished Tuff Slab                       :POLISHED_TUFF_SLAB
Polished Tuff Stairs                     :POLISHED_TUFF_STAIRS
Polished Tuff Wall                       :POLISHED_TUFF_WALL
Tuff Bricks                              :TUFF_BRICKS
Tuff Brick Slab                          :TUFF_BRICK_SLAB
Tuff Brick Stairs                        :TUFF_BRICK_STAIRS
Tuff Brick Wall                          :TUFF_BRICK_WALL
Chiseled Tuff Bricks                     :CHISELED_TUFF_BRICKS

#
# dirt, sand, clay, snow, ice, nether, moss, mud, purpur, sculk
#

Clay                                     :CLAY
Clay Ball                                :CLAY_BALL

Dirt                                     :DIRT
Coarse Dirt                              :COARSE_DIRT
Rooted Dirt                              :ROOTED_DIRT
Dirt Path                                :DIRT_PATH
Farmland                                 :FARMLAND

Flower Pot                               :FLOWER_POT

Terracotta                               :TERRACOTTA
White Terracotta                         :WHITE_TERRACOTTA
White Glazed Terracotta                  :WHITE_GLAZED_TERRACOTTA
Light Gray Terracotta                    :LIGHT_GRAY_TERRACOTTA
Light Gray Glazed Terracotta             :LIGHT_GRAY_GLAZED_TERRACOTTA
Gray Terracotta                          :GRAY_TERRACOTTA
Gray Glazed Terracotta                   :GRAY_GLAZED_TERRACOTTA
Black Terracotta                         :BLACK_TERRACOTTA
Black Glazed Terracotta                  :BLACK_GLAZED_TERRACOTTA
Brown Terracotta                         :BROWN_TERRACOTTA
Brown Glazed Terracotta                  :BROWN_GLAZED_TERRACOTTA
Red Terracotta                           :RED_TERRACOTTA
Red Glazed Terracotta                    :RED_GLAZED_TERRACOTTA
Orange Terracotta                        :ORANGE_TERRACOTTA
Orange Glazed Terracotta                 :ORANGE_GLAZED_TERRACOTTA
Yellow Terracotta                        :YELLOW_TERRACOTTA
Yellow Glazed Terracotta                 :YELLOW_GLAZED_TERRACOTTA
Lime Terracotta                          :LIME_TERRACOTTA
Lime Glazed Terracotta                   :LIME_GLAZED_TERRACOTTA
Green Terracotta                         :GREEN_TERRACOTTA
Green Glazed Terracotta                  :GREEN_GLAZED_TERRACOTTA
Cyan Terracotta                          :CYAN_TERRACOTTA
Cyan Glazed Terracotta                   :CYAN_GLAZED_TERRACOTTA
Light Blue Terracotta                    :LIGHT_BLUE_TERRACOTTA
Light Blue Glazed Terracotta             :LIGHT_BLUE_GLAZED_TERRACOTTA
Blue Terracotta                          :BLUE_TERRACOTTA
Blue Glazed Terracotta                   :BLUE_GLAZED_TERRACOTTA
Purple Terracotta                        :PURPLE_TERRACOTTA
Purple Glazed Terracotta                 :PURPLE_GLAZED_TERRACOTTA
Magenta Terracotta                       :MAGENTA_TERRACOTTA
Magenta Glazed Terracotta                :MAGENTA_GLAZED_TERRACOTTA
Pink Terracotta                          :PINK_TERRACOTTA
Pink Glazed Terracotta                   :PINK_GLAZED_TERRACOTTA

Ice                                      :ICE
Blue Ice                                 :BLUE_ICE
Packed Ice                               :PACKED_ICE
Frosted Ice                              :FROSTED_ICE

Magma Block                              :MAGMA_BLOCK

Moss Block                               :MOSS_BLOCK
Moss Carpet                              :MOSS_CARPET
Pale Moss Block                          :PALE_MOSS_BLOCK
Pale Moss Carpet                         :PALE_MOSS_CARPET

Mud                                      :MUD
Mud Brick Slab                           :MUD_BRICK_SLAB
Mud Brick Stairs                         :MUD_BRICK_STAIRS
Mud Brick Wall                           :MUD_BRICK_WALL
Mud Bricks                               :MUD_BRICKS
Packed Mud                               :PACKED_MUD

Mycelium                                 :MYCELIUM

Nether Brick                             :NETHER_BRICK
Nether Brick Fence                       :NETHER_BRICK_FENCE
Nether Brick Slab                        :NETHER_BRICK_SLAB
Red Nether Brick Slab                    :RED_NETHER_BRICK_SLAB
Nether Brick Stairs                      :NETHER_BRICK_STAIRS
Red Nether Brick Stairs                  :RED_NETHER_BRICK_STAIRS
Nether Brick Wall                        :NETHER_BRICK_WALL
Red Nether Brick Wall                    :RED_NETHER_BRICK_WALL
Nether Bricks                            :NETHER_BRICKS
Red Nether Bricks                        :RED_NETHER_BRICKS
Chiseled Nether Bricks                   :CHISELED_NETHER_BRICKS
Cracked Nether Bricks                    :CRACKED_NETHER_BRICKS

Netherrack                               :NETHERRACK
Obsidian                                 :OBSIDIAN
Crying Obsidian                          :CRYING_OBSIDIAN

Podzol                                   :PODZOL

Purpur Block                             :PURPUR_BLOCK
Purpur Pillar                            :PURPUR_PILLAR
Purpur Slab                              :PURPUR_SLAB
Purpur Stairs                            :PURPUR_STAIRS

Sand                                     :SAND
Sandstone                                :SANDSTONE
Sandstone Slab                           :SANDSTONE_SLAB
Sandstone Stairs                         :SANDSTONE_STAIRS
Sandstone Wall                           :SANDSTONE_WALL
Chiseled Sandstone                       :CHISELED_SANDSTONE
Smooth Sandstone                         :SMOOTH_SANDSTONE
Smooth Sandstone Slab                    :SMOOTH_SANDSTONE_SLAB
Smooth Sandstone Stairs                  :SMOOTH_SANDSTONE_STAIRS
Cut Sandstone                            :CUT_SANDSTONE
Cut Sandstone Slab                       :CUT_SANDSTONE_SLAB

Red Sand                                 :RED_SAND
Red Sandstone                            :RED_SANDSTONE
Red Sandstone Slab                       :RED_SANDSTONE_SLAB
Red Sandstone Stairs                     :RED_SANDSTONE_STAIRS
Red Sandstone Wall                       :RED_SANDSTONE_WALL
Chiseled Red Sandstone                   :CHISELED_RED_SANDSTONE
Smooth Red Sandstone                     :SMOOTH_RED_SANDSTONE
Smooth Red Sandstone Slab                :SMOOTH_RED_SANDSTONE_SLAB
Smooth Red Sandstone Stairs              :SMOOTH_RED_SANDSTONE_STAIRS
Cut Red Sandstone                        :CUT_RED_SANDSTONE
Cut Red Sandstone Slab                   :CUT_RED_SANDSTONE_SLAB

Suspicious Sand                          :SUSPICIOUS_SAND

Sculk                                    :SCULK
Sculk Catalyst                           :SCULK_CATALYST
Sculk Shrieker                           :SCULK_SHRIEKER
Sculk Vein                               :SCULK_VEIN

Snow                                     :SNOW
Powder Snow                              :POWDER_SNOW
Snow Block                               :SNOW_BLOCK
Snowball                                 :SNOWBALL

Soul Sand                                :SOUL_SAND
Soul Soil                                :SOUL_SOIL

#
# nature inc mobs
#

Bee Nest                                 :BEE_NEST
Beehive                                  :BEEHIVE
Honey Block                              :HONEY_BLOCK
Honey Bottle                             :HONEY_BOTTLE
Honeycomb                                :HONEYCOMB
Honeycomb Block                          :HONEYCOMB_BLOCK

Beetroot                                 :BEETROOT
Beetroots                                :BEETROOTS
Beetroot Seeds                           :BEETROOT_SEEDS
Beetroot Soup                            :BEETROOT_SOUP
Blaze Rod                                :BLAZE_ROD
Blaze Powder                             :BLAZE_POWDER
Breeze Rod                               :BREEZE_ROD
Bone                                     :BONE
Bone Block                               :BONE_BLOCK
Bone Meal                                :BONE_MEAL
Cactus                                   :CACTUS
